,Actual Speed,Goal Speed,Goal Status,Ori W,Ori X,Ori Y,Ori Z,Pos X,Pos Y,Pos Z,Time
2,1.583908331,7.3373635652,0,0.9492348928000001,0.0037054109,-0.008227670500000001,0.3144386963,0.1507294989,-25.3061351704,0.1958321309,3.0
3,1.8105146295,7.2177882193,0,0.9461317056,0.0074784256000000006,-0.0076309081,0.3236056831,0.24874425390000002,-25.2308701649,0.19626579060000002,3.0625
4,2.0597404163,7.0409782346,0,0.9458462106000001,0.0081870996,-0.0076908338000000005,0.3244206659,0.2562599706,-25.2249123786,0.1962541133,3.09
5,2.5002772557,6.7242801324,0,0.9425580920000001,0.005313305,-0.0074722242000000005,0.3339164234,0.3573977506,-25.1401154755,0.1957240904,3.15
6,2.5820162752,6.7242801324,0,0.9410169046,0.0045982428,-0.0058634021,0.3382774925,0.4157012879,-25.0892725088,0.1958512788,3.185
7,2.9825513357,6.3031649711,0,0.9342597453,0.0060498026,-0.006634574000000001,0.35648016860000004,0.6090564815,-24.9163751152,0.1962869541,3.255
8,2.9482705961,6.2904685131,0,0.9319709124000001,0.007320936300000001,-0.008206209400000001,0.36236622420000003,0.6647089445000001,-24.8636494005,0.1961899137,3.2875
9,3.5078852178,5.4119948473,0,0.9274510410000001,0.007285228800000001,-0.0081155758,0.37378553940000003,0.7874456929,-24.7422401551,0.195947009,3.3375
10,3.9032769565,5.4119948473,0,0.9223077187000001,0.0074882213,-0.0070370995,0.38631965760000003,0.9243803362,-24.5998301856,0.19600649080000002,3.3925
11,3.9358783506,3.9700501636,0,0.9166505648000001,0.0087681383,-0.0058819952,0.3995500769,1.0489938269,-24.4640968243,0.1960518689,3.4375
12,4.3488359944,10.6691872614,0,0.9126479746,0.0070673895,0.0039274045,0.4086664924,1.1298117047,-24.3718195269,0.19611697660000002,3.4825
13,4.5852335542,10.2194067847,0,0.9020444716,0.012373458700000001,-0.00017107220000000002,0.43146568760000004,1.2786640132,-24.1880147724,0.19650792690000002,3.5375
14,4.444979591,10.0329094549,0,0.8971888492000001,0.0028871587,-0.0047648825,0.4416119666,1.5057269822000001,-23.874107308,0.1961784358,3.6225
15,4.6147284613,9.5419159057,0,0.8996298797000001,0.0025970900000000002,-0.010895616200000001,0.43650958780000004,1.6418420654,-23.6920783921,0.1965718054,3.68
16,5.2718228641,9.2025267426,0,0.8986135345,0.0058629003,-0.0087985731,0.43861364220000004,1.7653402491999999,-23.5343336557,0.19700858810000002,3.7199999999999998
17,5.3915610798,8.8344715508,0,0.8987545412,0.0063302671,-0.0075842022,0.43834082890000003,1.8706478073000001,-23.4017935155,0.1969233511,3.76
18,5.6505513572,7.9968629573,0,0.9016856793,0.0041781917,-0.0073572269000000004,0.43230932180000003,2.1287270858,-23.0793844403,0.1967139397,3.8075
19,5.8948064362,7.5485133942000004,0,0.902944021,0.0060619398,-0.007731843600000001,0.4296458617,2.3507787049,-22.8063035074,0.1968708746,3.8725
20,6.0012304256,7.0484924184,0,0.902944021,0.0060619398,-0.007731843600000001,0.4296458617,2.3507787049,-22.8063035074,0.1968708746,3.8875
21,6.0679856399,7.0547176687,0,0.908503378,0.0010691071,-0.004456465000000001,0.4178523772,2.763083288,-22.3114751489,0.1969075787,3.9725
22,6.4042014964,7.0547176687,0,0.9103798472,0.0049553268,-0.0095452991,0.41363373400000003,2.9247362631,-22.1238883572,0.19701455580000002,4.0075
23,6.978048794,4.6742525761,0,0.9114281877,0.0018203998000000002,0.0009729945,0.4114540048,3.1161297827,-21.9068877375,0.19715235350000002,4.07
24,5.8184750935,4.6742525761,0,0.9129961080000001,-0.0023899093,0.0031158719,0.4079493675,3.2434797928,-21.7645485375,0.1972268845,4.09
25,6.4335121992,3.6138529676,0,0.9141614216,-0.0050885173,0.0150573487,0.40503861360000004,3.542800789,-21.435806251,0.1976783067,4.17
26,6.5459211623,4.0755369819,0,0.9144018836000001,-7.60985e-05,0.011382344800000001,0.40464754010000004,3.8753379282,-21.0703654856,0.1970227035,4.225
27,5.9688863453,3.9544933628,0,0.9154056765,-0.0003984365,0.0093425004,0.40242391390000004,4.0043864088,-20.9269099459,0.1968731055,4.2575
28,6.2571770082,3.6314337895,0,0.9137238269,-0.0023752643000000003,0.009660057000000001,0.40621399490000004,4.1636829121,-20.7509564418,0.1967797832,4.32
29,6.1620639795,3.4745016762,0,0.9105430712,-0.0002994149,0.0089717342,0.41331674760000003,4.3888189163,-20.4964363272,0.19681595770000002,4.345
30,5.5124608087,3.4745016762,0,0.9106911366,-0.0044938012000000005,0.0122711586,0.4128811912,4.6437604945,-20.2001997784,0.19675966790000002,4.4025
31,5.9813239505,3.4961327437,0,0.9095475807000001,-0.0035224806,0.0097368656,0.41547079800000003,4.7493132811,-20.0781130264,0.1969159946,4.44
32,5.7653625498,3.4961327437,0,0.9067413710000001,-0.0006016825,0.0086372066,0.4215982955,4.9822548168,-19.805993865,0.1970716431,4.5
33,5.3812747986,3.6424833402,0,0.906833592,-0.0017143635000000002,0.0106173404,0.4213515983,5.0900727018,-19.676978887,0.1967773533,4.5475
34,5.2058159523,4.3083378273,0,0.9042883906,-0.0031196649,0.0104959736,0.4267816876,5.3167273419,-19.4030788953,0.1967197719,4.6175
35,5.2508786428,3.0639688298,0,0.9024643964,-0.0014319568000000001,0.0087684506,0.43067281890000003,5.4838416099,-19.1973241199,0.19693134480000002,4.64
36,4.8986296303,3.3214135135,0,0.900913944,-0.0017125557,0.0087865595,0.4339054378,5.6129472477,-19.0358046662,0.1969018308,4.7
37,4.7208282951000005,3.3214135135,0,0.9008982948,-0.0007049183,0.0083684812,0.4339489993,5.760671397,-18.8470657648,0.1967732232,4.7375
38,4.7555818522,2.9889327421000003,0,0.9012022929,-0.0025955664000000002,0.006705824700000001,0.43333903840000004,5.92059221,-18.6455058341,0.1969861151,4.7975
39,4.7132488969,3.5248335856,0,0.9014291669000001,-0.0008617294,0.0081470182,0.4328490968,6.0844013118,-18.4431244232,0.19714946160000002,4.8525
40,4.1544739923,2.3926174086,0,0.9029886793,-0.0022405332,0.0091327923,0.42956142420000004,6.2289339668,-18.2655986342,0.1971188093,4.8925
41,4.3483332374,2.3926174086,0,0.9044330314000001,-0.0030529938,0.009710004000000001,0.4264941813,6.3977744095,-18.061403447,0.1969464869,4.9475
